id,id_przystanku
1,1
2,8
3,15
4,22
5,29
6,36
7,43
8,50
9,57
10,64
11,71
12,78
13,85
14,92
15,99
16,106
17,113
18,120
19,127
20,134
21,141
22,148
23,155
24,162
25,169
26,176
27,183
28,190
29,197
30,204
31,211
32,218
33,225
34,232
35,239
36,246
37,3
38,10
39,17
40,24
41,31
42,38
43,45
44,52
45,59
46,66
47,73
48,80
49,87
50,94
51,101
52,108
53,115
54,122
55,129
56,136
57,143
58,150
59,157
60,164
61,171
62,178
63,185
64,192
65,199
66,206
67,213
68,220
69,227
70,234
71,241
72,248
73,5
74,12
75,19
76,26
77,33
78,40
79,47
80,54
81,61
82,68
83,75
84,82
85,89
86,96
87,103
88,110
89,117
90,124
91,131
92,138
93,145
94,152
95,159
96,166
97,173
98,180
99,187
100,194
101,201
102,208
103,215
104,222
105,229
106,236
107,243
108,250
109,7
110,14
111,21
112,28
113,35
114,42
115,49
116,56
117,63
118,70
119,77
120,84
121,91
122,98
123,105
124,112
125,119
126,126
127,133
128,140
129,147
130,154
131,161
132,168
133,175
134,182
135,189
136,196
137,203
138,210
139,217
140,224
141,231
142,238
143,245
144,2
145,9
146,16
147,23
148,30
149,37
150,44
151,51
152,58
153,65
154,72
155,79
156,86
157,93
158,100
159,107
160,114
161,121
162,128
163,135
164,142
165,149
166,156
167,163
168,170
169,177
170,184
171,191
172,198
173,205
174,212
175,219
176,226
177,233
178,240
179,247
180,4
181,11
182,18
183,25
184,32
185,39
186,46
187,53
188,60
189,67
190,74
191,81
192,88
193,95
194,102
195,109
196,116
197,123
198,130
199,137
200,144
201,151
202,158
203,165
204,172
205,179
206,186
207,193
208,200
209,207
210,214
211,221
212,228
213,235
214,242
215,249
216,6
217,13
218,20
219,27
220,34
221,41
222,48
223,55
224,62
225,69
226,76
227,83
228,90
229,97
230,104
231,111
232,118
233,125
234,132
235,139
236,146
237,153
238,160
239,167
240,174
241,181
242,188
243,195
244,202
245,209
246,216
247,223
248,230
249,237
250,244
251,1
252,8
253,15
254,22
255,29
256,36
257,43
258,50
259,57
260,64
261,71
262,78
263,85
264,92
265,99
266,106
267,113
268,120
269,127
270,134
271,141
272,148
273,155
274,162
275,169
276,176
277,183
278,190
279,197
280,204
281,211
282,218
283,225
284,232
285,239
286,246
287,3
288,10
289,17
290,24
291,31
292,38
293,45
294,52
295,59
296,66
297,73
298,80
299,87
300,94
301,101
302,108
303,115
304,122
305,129
306,136
307,143
308,150
309,157
310,164
311,171
312,178
313,185
314,192
315,199
316,206
317,213
318,220
319,227
320,234
321,241
322,248
323,5
324,12
325,19
326,26
327,33
328,40
329,47
330,54
331,61
332,68
333,75
334,82
335,89
336,96
337,103
338,110
339,117
340,124
341,131
342,138
343,145
344,152
345,159
346,166
347,173
348,180
349,187
350,194
351,201
352,208
353,215
354,222
355,229
356,236
357,243
358,250
359,7
360,14
361,21
362,28
363,35
364,42
365,49
366,56
367,63
368,70
369,77
370,84
371,91
372,98
373,105
374,112
375,119
376,126
377,133
378,140
379,147
380,154
381,161
382,168
383,175
384,182
385,189
386,196
387,203
388,210
389,217
390,224
391,231
392,238
393,245
394,2
395,9
396,16
397,23
398,30
399,37
400,44
