id,Kierowca_id,Autobus_id,Data_przejazdu_ID,Przystanek_koncowy_id,Przystanek_poczatkowy_id,Bilet_id
1,116,51,167,246,274,798
2,155,42,390,295,21,696
3,175,199,506,331,194,2214
4,112,217,597,192,60,2238
5,94,203,304,66,365,534
6,104,198,735,264,16,603
7,247,88,517,8,199,930
8,277,66,129,369,324,1391
9,184,176,515,19,137,68
10,4,112,354,225,40,1674
11,199,46,43,267,118,2590
12,148,124,292,137,28,2431
13,4,36,270,176,217,2874
14,267,133,415,31,354,688
15,127,184,93,395,383,1372
16,63,118,498,320,367,1976
17,24,216,300,257,209,1825
18,299,13,550,260,143,1895
19,223,231,667,359,370,611
20,12,67,620,150,381,464
21,3,59,255,107,65,2564
22,107,186,33,285,311,2767
23,200,201,679,94,285,2310
24,297,129,136,286,200,690
25,50,57,634,257,320,535
26,49,49,215,240,53,1098
27,43,258,717,139,210,297
28,290,210,177,37,63,2672
29,160,6,502,131,19,1692
30,45,35,734,111,352,395
31,291,265,535,60,151,843
32,224,48,783,86,116,1300
33,251,70,795,65,348,504
34,232,103,781,238,125,2397
35,138,266,563,38,167,1971
36,216,202,323,373,98,1908
37,40,38,560,7,281,1897
38,268,12,232,377,47,2541
39,218,24,23,344,156,252
40,5,49,79,65,142,426
41,214,93,222,215,22,316
42,132,62,325,327,367,811
43,59,152,306,274,197,676
44,300,118,312,235,383,330
45,41,210,503,46,198,2232
46,92,190,706,253,29,1579
47,274,231,447,117,192,2780
48,282,174,411,72,138,2303
49,263,232,142,286,381,2517
50,131,259,353,19,183,658
51,221,273,450,388,393,2026
52,239,156,448,219,63,1843
53,122,75,415,183,231,675
54,212,227,358,268,252,2977
55,53,176,321,263,344,1177
56,140,87,688,136,187,1726
57,99,92,710,115,162,2732
58,288,98,292,126,12,2426
59,127,86,297,389,269,1136
60,225,91,212,37,229,1829
61,274,50,75,16,152,1706
62,249,184,309,222,383,2525
63,47,199,178,72,73,749
64,175,251,381,125,262,1760
65,188,116,400,250,149,1629
66,252,58,477,154,221,550
67,3,71,2,104,60,140
68,243,244,626,27,105,19
69,254,25,362,366,43,927
70,122,153,791,27,118,1437
71,297,221,38,35,386,569
72,218,134,737,311,229,970
73,286,107,409,69,213,311
74,177,4,761,74,15,1086
75,204,6,516,387,55,2811
76,71,80,604,245,232,532
77,300,171,509,237,246,637
78,278,252,563,312,209,2668
79,86,46,217,199,239,819
80,201,61,481,280,226,1735
81,141,159,373,165,159,1618
82,242,169,86,187,53,2724
83,68,197,251,28,327,365
84,76,36,94,218,224,2696
85,247,44,138,289,168,1852
86,156,254,434,260,368,2814
87,69,231,557,294,185,2917
88,224,227,82,136,380,1767
89,79,11,439,9,375,2769
90,137,179,320,119,170,1804
91,126,55,726,367,265,1555
92,63,40,781,176,272,2109
93,76,186,115,116,267,2757
94,74,120,144,37,39,1460
95,158,273,420,273,115,2477
96,161,44,595,175,29,1032
97,79,252,357,15,130,1527
98,11,189,138,321,227,826
99,12,198,562,156,162,2227
100,269,177,279,11,25,2400
101,105,120,572,134,48,2431
102,97,45,603,349,203,2088
103,158,50,447,173,145,2522
104,282,252,701,385,293,811
105,227,208,521,289,309,1459
106,86,136,147,364,71,2174
107,132,121,478,178,368,2626
108,229,90,484,352,388,1432
109,201,99,411,278,124,551
110,120,140,509,236,171,2350
111,297,202,471,125,321,1825
112,244,178,68,177,236,230
113,159,102,697,44,172,1143
114,239,17,433,351,48,700
115,45,154,394,183,305,514
116,87,274,584,83,230,456
117,220,206,575,133,345,913
118,192,100,506,2,179,765
119,277,108,420,178,98,683
120,74,50,688,156,119,1708
121,97,50,415,33,34,2519
122,290,180,589,74,246,160
123,207,239,165,202,314,2833
124,8,179,201,26,110,92
125,118,254,422,186,137,730
126,208,200,84,352,376,1686
127,114,73,28,209,341,2914
128,72,186,526,358,197,903
129,194,75,609,198,274,735
